"type","value","source"
"domain","adobe-express.com","public"
"domain","ai-kling.com","public"
"domain","aikling.ai","public"
"domain","aisoraplus.com","public"
"domain","bitdefender-download.com","public"
"domain","boostcreatives-ai.com","public"
"domain","boostcreatives.ai","public"
"domain","canva-dreamlab.com","public"
"domain","canvadream-lab.com","public"
"domain","canvadreamlab.ai","public"
"domain","canvadreamlab.com","public"
"domain","canvaproai.com","public"
"domain","capcutproai.com","public"
"domain","cloud.msapp.workers.dev","public"
"domain","creativepro-ai.com","public"
"domain","creativepro.ai","public"
"domain","creativespro-ai.com","public"
"domain","dreamai-luma.com","public"
"domain","greenadelhouse.com","public"
"domain","jetmf.com","public"
"domain","klings-ai.com","public"
"domain","klingxai.com","public"
"domain","luma-aidream.com","public"
"domain","luma-dream.com","public"
"domain","luma-dreamai.com","public"
"domain","luma-dreammachine.com","public"
"domain","lumaai-dream.com","public"
"domain","lumaai-lab.com","public"
"domain","lumaai-labs.com","public"
"domain","lumaaidream.com","public"
"domain","lumaailabs.com","public"
"domain","lumalabsai.in","public"
"domain","nationaldefensecollege.com","public"
"domain","operationsindoor2025.in","public"
"domain","pahalgamattack.com","public"
"domain","pubs.infinityfreeapp.com","public"
"domain","quirkquestai.com","public"
"domain","resource.infinityfreeapp.com","public"
"domain","sindoor.live","public"
"domain","term-restore-satisfied-hence.trycloudflare.com","public"
"domain","ways-sms-pmc-shareholders.trycloudflare.com","public"
"domain","word.msapp.workers.dev","public"
"url","http://185.156.72.2/files/5297474040/aNXlZBn.exe","public"
"url","http://192.3.95.152/cloudshare/atr/pull.pdf","public"
"url","http://192.3.95.152/cloudshare/atr/trm","public"
"url","http://45.61.157.163:443/Destop-Win10.zip","public"
"url","http://pokijhgcfsdfghnj.mywebcommunity.org/main/receive.php","public"
"url","http://pokijhgcfsdfghnj.mywebcommunity.org/main/test.txt","public"
"url","http://wersdfxcv.mygamesonline.org/view.php","public"
"url","http://www.autonomousrich.xyz/iej0","public"
"url","http://www.balivegasbaru2.xyz/cfze","public"
"url","http://www.ddvids.xyz/uiki","public"
"url","http://www.dqvcbn.info/iby8","public"
"url","http://www.ethereumpartner.xyz/xou3","public"
"url","http://www.fjlgyc.info/txra","public"
"url","http://www.garfo.xyz/35rt","public"
"url","http://www.gnlokn.info/lmor","public"
"url","http://www.hugeblockchain.xyz/1dpy","public"
"url","http://www.iighpb.bid/jfhd","public"
"url","http://www.intention.digital/h6z3","public"
"url","http://www.kasun.wtf/u4ue","public"
"url","http://www.kpilal.info/9o26","public"
