"type","value","source"
"domain","adesso-online.com","public"
"domain","assicurati-con-linear.online","public"
"domain","captchaguard.me","public"
"domain","cbot.galaxias.cc","public"
"domain","cf-verifi.pages.dev","public"
"domain","continueoraweb.com","public"
"domain","dscriy.chtq.net","public"
"domain","eversioneweb.com","public"
"domain","francjohn.com","public"
"domain","gestisciweb.com","public"
"domain","jieun.dothome.co.kr","public"
"domain","jimmyudp-raw.xyz","public"
"domain","microads.top","public"
"domain","multi-canale.com","public"
"domain","myth.cocukporno.lol","public"
"domain","neon.galaxias.cc","public"
"domain","network.oossafe.com","public"
"domain","nomera.n-e.kr","public"
"domain","notes.oossafe.com","public"
"domain","nuklearcnc.duckdns.org","public"
"domain","onsungtong.n-e.kr","public"
"domain","ora-0-web.com","public"
"domain","panel-spectrum.net","public"
"domain","pangacnc.com","public"
"domain","peras1.n-e.kr","public"
"domain","readrbee.com","public"
"domain","resbot.online","public"
"domain","rugmel.cat","public"
"domain","spectrum-ticket.net","public"
"domain","tool.municipiodechepo.org","public"
"domain","updata.dsqurey.com","public"
"domain","versioneonline.com","public"
"domain","web-app-on.com","public"
"domain","webdiskwebdisk.webprocediweb.com","public"
"domain","woana.n-e.kr","public"
"url","http://136.243.132.112/ut.exe","public"
"url","http://136.243.132.112:881/3.exe","public"
"url","http://136.243.132.112:881/APPDATA.exe","public"
"url","http://136.243.132.112:881/a.ps1","public"
"url","http://136.243.132.112:881/firefoxtemp.exe","public"
"url","http://82.153.138.221:7340/post","public"
"url","http://93f4f4.bobbyweisman.com/kakfgar","public"
"url","http://bobbyweisman.com","public"
"url","http://bobbyweisman.com/index.html","public"
"url","http://everlight-beta.netlify.app","public"
"url","https://185.224.3.219/screen","public"
"url","https://185.224.3.219:8080/api/send","public"
"url","https://6f4922f4.bobbyweisman.com/brake","public"
"url","https://applemacios.com/getrur/install.sh","public"
"url","https://applemacios.com/getrur/update","public"
"url","https://bitbucket.org/htfhtthft/simshelper/downloads","public"
"url","https://bitbucket.org/registryclean1/fefsed/downloads","public"
"url","https://bitbucket.org/syscontrol6/syscontrol/downloads","public"
"url","https://bitbucket.org/syscontrol6/syscontrol/downloads/AClient.exe","public"
"url","https://bitbucket.org/syscontrol6/syscontrol/downloads/Rnr.exe","public"
"url","https://bitbucket.org/syscontrol6/syscontrol/downloads/skul.exe","public"
"url","https://bitbucket.org/updateservicesvar/serv/downloads","public"
"url","https://bitbucket.org/updatevak/upd/downloads","public"
"url","https://bitbucket.org/updatevak/upd/downloads/AClient.exe","public"
"url","https://bitbucket.org/updatevak/upd/downloads/Rnr.exe","public"
"url","https://bitbucket.org/updatevak/upd/downloads/skul.exe","public"
"url","https://captchaguard.me/?key=","public"
"url","https://cf-verifi.pages.dev/i.txt","public"
"url","https://cheatglobal.com/konu/ddrace-krx-ultimate-crack.72186/page-1","public"
"url","https://discord.com/api/webhooks/1324002441498202153/0KSAK6Fw00eryKz4BpysAJbo4jCxaJY3bRlcZGdmFhx03854FFdFvic1hQZDaZ2fmUIr","public"
"url","https://discord.com/api/webhooks/1348629600560742462/RJgSAE7cYY-1eKMkl5EI-qZMuHaujnRBMVU_8zcIaMKyQi4mCVjc9R0zhDQ7wmPoD7Xp","public"
"url","https://discord.com/api/webhooks/1355186248578502736/_RDywh_K6GQKXiM5T05ueXSSjYopg9nY6XFJo1o5Jnz6v9sih59A8p-6HkndI_nOTicO","public"
"url","https://francjohn.com/api/action","public"
"url","https://github.com/frfs1/update/raw/refs/heads/main/installer.exe","public"
"url","https://github.com/gkwdw/wffaw/raw/refs/heads/main/installer.exe","public"
"url","https://github.com/shisuh/update/raw/refs/heads/main/installer.exe","public"
"url","https://gofile.io/d/tr1WIK","public"
"url","https://luraka-game.github.io/luraka","public"
"url","https://pastebin.com/raw/NYpQCL7y","public"
"url","https://pastebin.com/raw/QdseGsQL","public"
"url","https://pastebin.com/raw/ftknPNF7","public"
"url","https://pastebin.com/raw/zW0L2z2M","public"
"url","https://readrbee.com/install","public"
"url","https://readrbee.com/uninstall","public"
"url","https://tool.municipiodechepo.org/id","public"
"url","https://www.plaquist-simulator.com","public"
"hash_md5","064B1E45016E8A49EBA01878E41ECC37","public"
"hash_md5","07015AF18CF8561866BC5B07E6F70D9A","public"
"hash_md5","0ED2D0579B60D9E923B439D8E74B53E1","public"
"hash_md5","0EFE1A5D5F4066B7E9755AD89EE9470C","public"
"hash_md5","197FF9252DD5273E3E77EE07B37FD4DD","public"
"hash_md5","1AE2E46AAC55E7F92C72B56B387BC945","public"
"hash_md5","1EC4B69F3194BD647639E6B0FA5C7BB5","public"
"hash_md5","2A388F3428A6D44A66F5CB0B210379A0","public"
"hash_md5","2F6FE22BE1ED2A6BA42689747C9E18A0","public"
"hash_md5","30741E7E4CDD8BA9D3D074C42DEAC9B1","public"
"hash_md5","46FD22ACEA614407BF11D92EB6736DC7","public"
"hash_md5","537806C02659A12C5B21EFA51B2322C1","public"
"hash_md5","568F7628E6B7BB7106A1A82AEBFD348D","public"
"hash_md5","5A223C70B65C4D74FEA98BA39BF5D127","public"
"hash_md5","7756B4230ADFA16E18142D1DBE6934AF","public"
"hash_md5","779F2F4839B9BE4F0B8C96F117181334","public"
"hash_md5","7A0C0A4C550A95809E93AB7E6BDCC290","public"
"hash_md5","8346D90508B5D41D151B7098C7A3E868","public"
"hash_md5","AFADAB22F770956712E9C47460911DAD","public"
"hash_md5","B128C5DB5D973BE60F39862BA8BFB152","public"
"hash_md5","B9C2111C753B09E4CC9D497F8FD314FC","public"
"hash_md5","BFB02DEE62C38C3385DF92B308499B31","public"
"hash_md5","CA3926DC6C4B2A71832A03FBA366CBCD","public"
"hash_md5","EAEDEE8FC9FE336BCDE021BF243E332A","public"
"hash_md5","EC9DCEF04C5C89D6107D23B0668CC1C1","public"
"hash_md5","F14F332D4273DE04BA77E38FD3DCFF90","public"
"hash_md5","F4D59B1246E861A2A626CB56C55651F0","public"
"hash_md5","F960CE07C519D1E64A46C7F573EAC39B","public"
"hash_md5","FB3C652E795F08CC2529ED33EC1DC114","public"
"hash_md5","FE8626E7C3F47A048C9F6C13C88A9463","public"
"hash_sha256","01793E6F0D5241B33F07A3F9AD34E40E056A514C5D23E14DC491CEE60076DC5A","public"
"hash_sha256","01A771866F3CA223DA3BC988BAA0A52DC76AE905D167187167FFFD2A6DD4FC3C","public"
"hash_sha256","0631A62A173833C7C821989E63F77632ECCE30CA5A7049DB4898FF0505ABF32E","public"
"hash_sha256","068F5ADF9C87D0B3FA8A37056042E76139BB230A9FD559028EB13CDF360EBBAA","public"
"hash_sha256","0B3A08A1D90BF52DBF5379C72B8E2B6E76AA1FBF2C2E6C2D32AF99C4707598A7","public"
"hash_sha256","100A36C2C6934B93F00DC7432BB1C6C4D849586D851FD6358D062435D1E3DAE7","public"
"hash_sha256","1388F124C6AF24EEFE5483A5A50AB186ABDF51A89875036F7383EA51139AB4B4","public"
"hash_sha256","14E722855605BA78DC1D21153F0E1BE90E7528149F2CD2D7D6EBA8EF27534BDC","public"
"hash_sha256","160EDA7AD14610D93F28B7DEE20501028C1A9D4F5DC0437794CCFC2604807693","public"
"hash_sha256","1847288195FCFC03FC186BF4EEAD4268048EF5E082DEDB963B3450EE07C23883","public"
"hash_sha256","1B409644E86559E56ADD5A65552785750CD36D60745AFDE448CCE7F6F3F09A06","public"
"hash_sha256","2AF2841BF925ED1875FAADCBB0EF316C641E1DCDB61D1FBF80C3443C2FC9454F","public"
"hash_sha256","2C1ABD6BC9FACAE420235E5776B3EEAA3FC79514CF033307F648313362B8B721","public"
"hash_sha256","2E2CF06B6C7949B139356FB95C7AC0246C94F769D85DFA85122C004B9A2989E7","public"
"hash_sha256","2F3D67740BB7587FF70CC7319E9FE5C517C0E55345BF53E01B3019E415FF098B","public"
"hash_sha256","311EC9208F5FE3F22733FCA1E6388EA9C0327BE0836C955D2CF6A22317D4BDCA","public"
"hash_sha256","375FA2E3E936D05131EE71C5A72D1B703E58EC00AE103BBEA552C031D3BFBDBE","public"
"hash_sha256","3AB29BC71DDD272F33F17C5108C044A570610C06CCBA16CDE1A4AA67B1524A8B","public"
"hash_sha256","42ACDF5051BC636DBBB56483FBCA925238F1C5422497E2DDA73F07B0653E56F2","public"
"hash_sha256","4C1E54067911AEB5AA8D1B747F35FDCDFDF4837CAD60331E58A7BBB849CA9EED","public"
"hash_sha256","4CAA37C208CE1BB54791C0B13AF2BD45BF90EA456098AACA37A0A9C53EBDCCFF","public"
"hash_sha256","4D590A9640093BBDA21597233B400B037278366660BA2C3128795BC85D35BE72","public"
"hash_sha256","4D9F632E977B16466B72B6EE90B6DE768C720148C1E337709B57CA49C1CDFFB6","public"
"hash_sha256","53B65B7C38E3D3FCA465C547A8C1ACC53C8723877C6884F8C3495FF8CCC94FBE","public"
"hash_sha256","53FD5984C4F6551B2C1059835EA9CA6D0342D886BA7034835DB2A1DD3F8F5B04","public"
"hash_sha256","55A418F8562684607EE0ACD745595E297AB7E586D0A5D3F8328643B29C72DFA2","public"
"hash_sha256","565863CF176E5D094E75E31844EB542CA07C516673ED245A424D7326BD474E0B","public"
"hash_sha256","5D0509F68A9B7C415A726BE75A078180E3F02E59866F193B0A99EEE8E39C874F","public"
"hash_sha256","636D4F1E3DCF0332A815CE3F526A02DF3C4EF2890A74521D05D6050917596748","public"
"hash_sha256","649EE35AD29945E8DD6511192483DDDFDFE516A1312DE5E0BD17FDD0A258C27F","public"
"hash_sha256","64BD7003F58AC501C7C97F24778A0B8F412481776AB4E6D0E4EB692B08F52B0F","public"
"hash_sha256","65A84024DAF30C12FD2E76DB661BF6E85F3DA30BB3AAA7E774152855D718B0C4","public"
"hash_sha256","65F7C3E16598A8CB279B86EAEDA32CB7A685801ED07D36C66FF83742D41CD415","public"
"hash_sha256","6614545EEC64C207A6CC981FCCAE8077EAC33A79F286FC9A92582F78E2AE243A","public"
"hash_sha256","670BE5B8C7FCD6E2920A4929FCAA380B1B0750BFA27336991A483C0C0221236A","public"
"hash_sha256","673090ABADA8CA47419A5DBC37C5443FE990973613981CE622F30E83683DC932","public"
"hash_sha256","6954EAED33A9D0CF7E298778EC82D31BFBDF40C813C6AC837352CE676793DB74","public"
"hash_sha256","6C54E6648A6A33583D7707A9F7C5E83DD08ED481DF6354C52E8F81E729D74A82","public"
"hash_sha256","6C86608893463968BFDA0969AA1E6401411C0882662F3E70C1AC195EE7BD1510","public"
"hash_sha256","702BF51811281AAD78E6CA767586EBA4B4C3A43743F8B8E56BB93BC349CB6090","public"
"hash_sha256","70CEA07C972A30597CDA7A1D3CD4CD8F75ACAD75940CA311A5A2033E6A1DD149","public"
"hash_sha256","7B659210C509058BD5649881F18B21B645ACB42F56384CBD6DCB8D16E5AA0549","public"
"hash_sha256","7C4A99382DBBD7B5AAA62AF0CCFF68AECDDE2319560BBFDAF76132B0506AB68A","public"
"hash_sha256","7D6B598EAF19EA8A571B4BD79FD6FF7928388B565D7814B809D2F7FDEDC23A0A","public"
"hash_sha256","7E2BED39EEA850960A0D043E6E671154F413F5FE2CC7CAFE6D92C903B3A2E8D1","public"
"hash_sha256","811CD6EBEB9E2B7438AD9D7C382DB13C1C04B7D520495261093AF51797F5D4CC","public"
"hash_sha256","8135F126764592BE3DF17200F49140BFB546EC1B2C34A153AA509465406CB46C","public"
"hash_sha256","858EC188573E8989C9BE47263C8520FE8546A583DFD35E62241DC26F4BA90491","public"
"hash_sha256","8A58FA790FC3054C5A13F1E4E1FCB0E1167DBFB5E889B7C543D3CDD9495E9AD6","public"
"hash_sha256","8B67EB5C3586B427FD71310C1A0E6C92C35497342AFCC0533E5BD97B7B572185","public"
"hash_sha256","8B6AFBF73A9B98EEC01D8510815A044CD036743B64FEF955385CBCA80AE94F15","public"
"hash_sha256","8BDB8DF5677A11348F5787ECE3C7C94824B83AB3F31F40E361E600576909B073","public"
"hash_sha256","90DF78DB1FB5AEA6E21C3DACA79CC690900EF8A779DE61D5B3C0DB030F4B4353","public"
"hash_sha256","941A30698DB98F29919CBA80E66717C25592697B1447F3E96825730229D97549","public"
"hash_sha256","977054802DE7B583A38E0524FEEFA7356C47C53DD49DE8C3D533E7689095F9AC","public"
"hash_sha256","9CCE3EAAE0BE9B196017CB6DAF49DD56146016F936B66527320F754F179C615F","public"
"hash_sha256","9D5C10C7D0D5E2CE8BB7F1D4526439CE59108B2C631DD9E78DF4E096E612837B","public"
"hash_sha256","9F940783A6BBEACA52308B32E7BC0060222F3705C2DB2AB00F59C6615E5E577F","public"
"hash_sha256","A0B47C781E70877AD4E721BA49F64FC0BC469E38750F070A232D12F03D9990BC","public"
"hash_sha256","A6FF418F0DB461536CFF41E9C7E5DBA3EE3B405541519820DB8A52B6D818A01E","public"
"hash_sha256","AB036CC442800D2D71A3BAA9F2D6B27E3813B9F740D7C3E7635B84E3E7A8D66A","public"
"hash_sha256","ACD66CB5F1447B803245C495400AD0886352920E35DEFCCA6C45519FB7D33693","public"
"hash_sha256","B180F6F9F7EB0BB1A12A7E7C8216499366419B1083C84C4AF5B0EE69B3016186","public"
"hash_sha256","B85FFC8AF90D4312ACA9A81E0DA00AABE6278FD9C92E933AEC7E2DA80C2C1F7E","public"
"hash_sha256","BE4070B79A2F956E686469B37A8DB1E7E090B9061D3DCE73E3733DB2DBE004F0","public"
"hash_sha256","C2C40859F5D589538B6C16D654373B696C48E0BE9092B56A57D2CF6CE768E1FE","public"
"hash_sha256","C353A708EDFD0F77A486AF66E407F7B78583394D7B5F994CD8D2E6E263D25968","public"
"hash_sha256","C5EEEC72B5E6D0E84FF91DFDCBEFBBBF441878780F887FEBB0CAF3CBE882EC72","public"
"hash_sha256","C79413EF4088B3A39FE8C7D68D2639CC69F88B10429E59DD0B4177F6B2A92351","public"
"hash_sha256","C7AE9D808E97FE6D6BF97AAF0775B9B6E68449F10BCC933BF07BA9D34D75A379","public"
"hash_sha256","C9DF0A2F377FFAB37EDE8F2B12A776A7AE40FA8A6B4724D5C1898E8E865CFEA1","public"
"hash_sha256","CAB1C4C675F1D996B659BAB1DDB38AF365190E450DEC3D195461E4E4CCF1C286","public"
"hash_sha256","D147B9BDE49B53E83B9C0B37D2001CCF7D195371672E782D58A12EF639EFA95C","public"
"hash_sha256","D54FA589708546ECA500FBEEA44363443B86F2617C15C8F7603FF4FB05D494C1","public"
"hash_sha256","D7BCAB5ACC8428026E1AFD694FB179C5CBB74C5BE651CD74E996C2914FB2B839","public"
"hash_sha256","D8EDD46220059541FF397F74BFD271336DDA702C6B1869E8A081C71F595A9E68","public"
"hash_sha256","DB1AA52842247FC3E726B339F7F4911491836B0931C322D1D2AB218AC5A4FB08","public"
"hash_sha256","DBAF4A8C8431FD80CC5160DFDACA7ADB301ADC26AB7E3A48BE9543EDF539EA8D","public"
"hash_sha256","DCDAA9DA5EE4750B1084F7DD99FAEED2C713595BB156AC6491B29C2F9E0A1ADE","public"
"hash_sha256","DE998BD26EA326E610CC70654499CEBFD594CC973438AC421E4C7E1F3B887617","public"
"hash_sha256","DECE5EAEB26D0CA7CEA015448A809AB687E96C6182E56746DA9AE4A2B16EDAA9","public"
"hash_sha256","DFAC7CD8D041A53405CC37A44F100F6F862ED2D930E251F4BF22F10235DB4BB3","public"
"hash_sha256","E0AC9404023867022DB140D5737B8CB8310FF677DEBFC89BE27BFA9616EACC92","public"
"hash_sha256","E5D09DA6648ADD4776DE8091B0182B935405791BF41476465B0E7DCB066FC0DC","public"
"hash_sha256","E6CF946BD5A17909AE3ED9B1362CFAAFA7AFE02E74699DCBC3D515A6F964B0B0","public"
"hash_sha256","E6EA6CE923F2EEE0CD56A0874E4A0CA467711B889553259A995DF686BD35DE86","public"
"hash_sha256","E880A1BB0E7D422B78A54B35B3F53E348AB27425F1C561DB120C0411DA5C1CE9","public"
"hash_sha256","EC929123C9A7E9C60868381BA479F7567F0177D09B412E0A1BD4CECC448BA10D","public"
"hash_sha256","EF8C2F3C36FFF5FCCAD806AF47DED1FD53AD3E7AE22673E28E541460FF0DB49C","public"
"hash_sha256","F08676EEB489087BC0E47BD08A3F7C4B57EF5941698BC09D30857C650763859C","public"
"hash_sha256","F7CB6626E311181D9DED9536B1FBDF709B8254ABD8D0810E04CEBEFEA2FED131","public"
"hash_sha256","F8C80BBECBFB38F252943EE6BEEC98EDC93CD734EC70CCD2565AB1C4DB5F072F","public"
