"type","value","source"
"url","https://govin.sorlastore.com/uploads/BOSS.elf","public"
"url","https://govin.sorlastore.com/uploads/Cyber-Security-Advisory.pptx","public"
"domain","oblast-ru.com","public"
"domain","ru-exchange.com","public"
"hash_sha256","0338C2CC1E83C851ADAA3EBB836A40B849DF0C48060BD3086193542CC6A7F26C","public"
"hash_sha256","063A65D2D36CAE110D6D6C400956A125B9C35176D628A9A8F4D8E2133EC4D887","public"
"hash_sha256","106506EBC7156BE116FE5D2A4D662917DDBBFB286007B6EE7A2B01C9536B1EE4","public"
"hash_sha256","11E55FA23F0303AE949F1F1D7766B79FAF0EB77BCCB6F976F519A29FE51CE838","public"
"hash_sha256","128820E1C5D62523F675042DA9D1E11AF3191217AFE308BCC17E51AD8C2ECE03","public"
"hash_sha256","167B387005D6D2A55AD282273C58D1786A2EE0FA3E7E0CB361D4D61D8618EE5F","public"
"hash_sha256","18A90B3702776B23F87738B26002E013301F60D9801D83985A57664B133CADD1","public"
"hash_sha256","263AB8C9EC821AE573979EF2D5AD98CDA5009A39E17398CD31B0FAD98D862892","public"
"hash_sha256","3402883FF6EFADF0CC8B7434A0530FB769DE5549B0E9510DFDD23BC0689670D6","public"
"hash_sha256","3740E6B4D259EFE6A72F503429FB67DB96363935A29F7428CCAB5B78FA9BEE73","public"
"hash_sha256","52A72F899991506D2B1DF958DD8736F7BAA26592D664B771C3C3DBAEF8D3114A","public"
"hash_sha256","54B9576AAD25D54D703ADB9A26FEAA5D80F44B94731FF8ECFF7CF1EBC15CF3FF","public"
"hash_sha256","55656F7B2817087183CEEDEB4D9B78D3ABEE02409666BFFBE180D6EA87EE20FB","public"
"hash_sha256","70EC2E65F77A940FD0B2B5C0A78A83646DEC17583611741521E0992C1BF974F1","public"
"hash_sha256","7231546EE377738CBE9075791EB6E76B7BC163C1B91831E05E81B4756FFF4028","public"
"hash_sha256","7D0C9855167E7C19A67F800892E974C4387E1004B40EFB25A2A1D25A99B03A10","public"
"hash_sha256","87BD7E24AF5F10FE1E01CFA640CE26E9160B0E0E13488D7EE655E83118D16697","public"
"hash_sha256","8D8B40E87D3011DE5B33103DF2ED4EC81458B2A2F8807FBB7FFDBC351C7C7B5E","public"
"hash_sha256","B3C085672AC34F1B738879096AF5FCD748953116E319367E6E371034366EAECA","public"
"hash_sha256","B3E93BFEF12678294D9944E61D90CA4AA03B7E3DAE5E909C3B2166F122A14DAD","public"
"hash_sha256","C1F66CADC1941B566E2EDAD0D1F288C93BF060EEF383C79638306638B6CEFDF8","public"
"hash_sha256","C865F24E4B9B0855B8B559FC3769239B0AA6E8D680406616A13D9A36FBBC2D30","public"
"hash_sha256","D3767BE11D9B211E74645BF434C9A5974B421CB96EC40D856F4B232A5EF9E56D","public"
"hash_sha256","D4BFAF3FD3D3B670F585114B4619AAF9B10173C5B1E92D42BE0611B6A9B1EFF2","public"
"hash_sha256","D5D0772CB90D54AC3E3093C1EA9FCD7B878663F7DDD1F96EFEA0725CE47D46D5","public"
"hash_sha256","DA59D67CED88BEAE618B9D6C805F40385D0301D412B787E9F9C9559D00D2C880","public"
"hash_sha256","DB7DF65F2699817FA3EBFB3EBEF106A3801A96B9DA1BA6D88E727A253AE34DA6","public"
"hash_sha256","E528799A29E9048C1E71B78223311CAD2699D035A731D1A6664FC8DDD0642064","public"
"hash_sha256","EC11FD865C2F502C47F100131F699A5E0589092E722A0820E96BD698364EEFDB","public"
"hash_sha256","ECCE34C0BA83120CCF1F8E1640CD867FBFEB490DBC8A41D1CF8C577D508819C3","public"
"hash_sha256","F368EC59FB970CC23F955F127016594E2C72DE168C776AE8A3F9C21681860E9C","public"
"hash_sha256","F4976D9A90D2F9868FCAADE1449FFCF9982ED2285ACE90AAFA7099CE246FD2EC","public"
"ip","134.195.90.71","public"
"ip","195.133.52.87","public"
"ip","45.33.101.53","public"
"ip","64.176.49.160","public"
